,datetime,pnl_sum,return
156,2025-05-22 10:45:00,3689.5596281554626,0.0003689559628155463
157,2025-05-22 10:50:00,49.66628587835589,4.966628587835589e-06
158,2025-05-22 10:55:00,7653.287188175078,0.0007653287188175078
159,2025-05-22 11:00:00,-1900.2750415152727,-0.00019002750415152728
160,2025-05-22 11:05:00,-2681.7960145086895,-0.00026817960145086894
161,2025-05-22 11:10:00,-2600.363738820488,-0.0002600363738820488
162,2025-05-22 11:15:00,7205.836784381585,0.0007205836784381585
163,2025-05-22 11:20:00,-2000.1921868719348,-0.00020001921868719347
164,2025-05-22 11:25:00,16329.844592527192,0.0016329844592527193
165,2025-05-22 11:30:00,599.6827069095643,5.996827069095643e-05
166,2025-05-22 12:30:00,42125.74424988097,0.004212574424988097
167,2025-05-22 12:35:00,5249.865460252327,0.0005249865460252327
168,2025-05-22 12:40:00,31034.935277541375,0.0031034935277541374
169,2025-05-22 12:45:00,2399.833023893281,0.00023998330238932808
170,2025-05-22 12:50:00,34120.92590378807,0.003412092590378807
171,2025-05-22 12:55:00,2949.875689480628,0.0002949875689480628
172,2025-05-22 13:00:00,42301.54049096389,0.004230154049096389
173,2025-05-22 13:05:00,6899.576327990139,0.000689957632799014
175,2025-05-22 13:15:00,12149.721889875356,0.0012149721889875356
177,2025-05-22 13:25:00,12149.849513206278,0.0012149849513206279
179,2025-05-22 13:35:00,10049.93699811241,0.0010049936998112409
181,2025-05-22 13:45:00,13849.901386537837,0.0013849901386537836
183,2025-05-22 13:55:00,8849.697464615445,0.0008849697464615445
185,2025-05-22 14:05:00,8299.771207190599,0.0008299771207190599
187,2025-05-22 14:15:00,7899.907180723159,0.000789990718072316
189,2025-05-22 14:25:00,5599.821839240758,0.0005599821839240758
190,2025-05-22 14:30:00,35722.35871364482,0.003572235871364482
191,2025-05-22 14:35:00,4249.850252600379,0.00042498502526003783
192,2025-05-22 14:40:00,41358.52724389699,0.004135852724389699
193,2025-05-22 14:45:00,6199.848413034675,0.0006199848413034675
194,2025-05-22 14:50:00,34933.58982812181,0.0034933589828121813
195,2025-05-22 14:55:00,3899.8478444178218,0.00038998478444178216
196,2025-05-22 15:00:00,23579.329023091348,0.0023579329023091346
197,2025-05-22 15:05:00,1849.87858423641,0.000184987858423641
198,2025-05-22 15:10:00,13653.618010649561,0.0013653618010649562
199,2025-05-22 15:15:00,-700.150274936736,-7.00150274936736e-05
200,2025-05-22 15:20:00,19847.87467914757,0.0019847874679147573
201,2025-05-22 15:25:00,-0.11077787300882846,-1.1077787300882847e-08
202,2025-05-22 15:30:00,20909.70300226944,0.002090970300226944
203,2025-05-23 09:00:00,-17822.379004350725,-0.0017822379004350725
204,2025-05-23 09:05:00,25121.552988131512,0.002512155298813151
205,2025-05-23 09:10:00,8897.601453159194,0.0008897601453159193
206,2025-05-23 09:15:00,19513.33986902326,0.0019513339869023261
207,2025-05-23 09:20:00,6748.838640251545,0.0006748838640251545
208,2025-05-23 09:25:00,22298.425873540225,0.0022298425873540227
209,2025-05-23 09:30:00,5249.572311211219,0.000524957231121122
210,2025-05-23 09:35:00,13832.163971079824,0.0013832163971079824
211,2025-05-23 09:40:00,3449.5777071418775,0.00034495777071418774
212,2025-05-23 09:45:00,6671.279211753093,0.0006671279211753092
213,2025-05-23 09:50:00,1099.7352699549351,0.00010997352699549351
214,2025-05-23 09:55:00,9475.669391132336,0.0009475669391132336
215,2025-05-23 10:00:00,1199.9065090333643,0.00011999065090333643
216,2025-05-23 10:05:00,16546.360183676727,0.0016546360183676727
217,2025-05-23 10:10:00,1249.7712989311713,0.00012497712989311712
218,2025-05-23 10:15:00,-4170.688670867212,-0.0004170688670867212
219,2025-05-23 10:20:00,-1000.2155893843798,-0.00010002155893843798
220,2025-05-23 10:25:00,-5617.102502420045,-0.0005617102502420045
221,2025-05-23 10:30:00,-1650.4672897222822,-0.00016504672897222822
222,2025-05-23 10:35:00,-1256.5012997523695,-0.00012565012997523694
223,2025-05-23 10:40:00,-500.3264757670181,-5.0032647576701814e-05
224,2025-05-23 10:45:00,7601.578814901579,0.0007601578814901579
225,2025-05-23 10:50:00,2149.574585017114,0.0002149574585017114
226,2025-05-23 10:55:00,5835.311890629429,0.0005835311890629429
227,2025-05-23 11:00:00,99.55639737472757,9.955639737472756e-06
228,2025-05-23 11:05:00,3685.6182807218024,0.00036856182807218027
229,2025-05-23 11:10:00,-1900.224977972747,-0.0001900224977972747
230,2025-05-23 11:15:00,1871.9639602795623,0.00018719639602795624
231,2025-05-23 11:20:00,-350.29825507485475,-3.5029825507485475e-05
